,ranking,name,price_elastic
6,9,SRS-XB2 Portable Bluetooth Wireless Speaker (Blue),11.974734705546021
4,8,JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal),10.417128791619447
3,7,Get Up Stand Bluetooth Home Audio System,5.721514173948387
10,6,iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal),-4.57934844436784
0,5,BOOM 2 Wireless Bluetooth Speaker - Indigo,-4.5797837309966205
9,4,SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black),-5.995651939118764
7,3,SRS-XB40 Bluetooth Speaker (Black),-6.954598997493734
8,2,SRS-XB40 Bluetooth Speaker (Blue),-7.027162352941172
2,1,FUGOO - Sport XL Portable Bluetooth Speaker - Black/White,-9.427256117724859
